node,new_score,original_score,diff(new-origin)
anon_S1834E,713,638,75
anon_S4347E,607,607,0
anon_S2068E,695,529,166
anon_S3293E,733.14,-1,na
anon_S3242E,849.65,573,276.65
anon_S3239E,711,612,99
anon_S4196E,731.98,575,156.98
anon_S4056E,724.29,520,204.29
anon_S144E,678,678,0
anon_S4011E,647,625,22
anon_S5181E,687,586,101
anon_S5327E,568,568,0
anon_S1041E,-1,-1,na
anon_S980E,779,779,0
anon_S1694E,519,519,0
anon_S731E,647,647,0
anon_S764E,845.41,728,117.41
anon_S1934E,608,551,57
anon_S1943E,891.96,686,205.96
anon_S315E,899.78,596,303.78
anon_S2388E,620,505,115
anon_S1554E,626,670,-44
anon_S2630E,657.8,594,63.8
anon_S5515E,530,530,0
anon_S5708E,749.41,606,143.41
anon_S5268E,740.28,525,215.28
anon_S4150E,599,599,0
anon_S4673E,567,567,0
anon_S3264E,705,604,101
anon_S1325E,503,503,0
anon_S1601E,731.98,613,118.98
anon_S5788E,575.85,531,44.85
anon_S5341E,591,591,0
anon_S1270E,-1,-1,na
anon_S1225E,565,565,0
anon_S354E,630,630,0
anon_S3086E,745,721,24
anon_S3864E,644,756,-112
anon_S3813E,739,695,44
anon_S3734E,792,712,80
anon_S286E,826.49,592,234.49
anon_S2130E,601,578,23
anon_S2165E,725.21,544,181.21
anon_S5668E,583,583,0
anon_S2502E,657.8,395,262.8
anon_S508E,893.28,726,167.28
anon_S2553E,849.65,625,224.65
anon_S4792E,747.38,625,122.38
anon_S4955E,575,575,0
anon_S4848E,616,650,-34
anon_S5862E,609,510,99
anon_S2047E,489,741,-252
anon_S3064E,657.8,-1,na
anon_S3977E,602,398,204
anon_S3013E,602,-1,na
anon_S4010E,793.72,-1,na
anon_S4975E,670.63,524,146.63
anon_S5068E,865.49,578,287.49
anon_S3311E,578.89,636,-57.11
anon_S526E,698,698,0
anon_S3561E,482,482,0
anon_S3951E,578.89,599,-20.11
anon_S3039E,657.8,446,211.8
anon_S5272E,609,522,87
anon_S5755E,609,713,-104
anon_S5722E,609,748,-139
anon_S5511E,-1,-1,na
anon_S668E,-1,-1,na
anon_S2842E,853.43,561,292.43
anon_S435E,613,613,0
anon_S922E,739,739,0
anon_S4386E,649,649,0
anon_S2495E,849.65,494,355.65
anon_S4815E,743.25,601,142.25
anon_S2477E,849.65,492,357.65
anon_S781E,-1,-1,na
anon_S5485E,807.44,555,252.44
anon_S330E,896.82,569,327.82
anon_S3151E,889.53,661,228.53
anon_S3587E,677,731,-54
anon_S413E,677,631,46
anon_S845E,540,540,0
anon_S3642E,617,-1,na
anon_S810E,638,638,0
anon_S5002E,877.71,535,342.71
anon_S1382E,617,617,0
anon_S4511E,486,486,0
anon_S2797E,745,600,145
anon_S588E,742.92,480,262.92
anon_S985E,587,587,0
anon_S2021E,681,542,139
anon_S4906E,869.88,498,371.88
anon_S1051E,569,569,0
anon_S2450E,525,434,91
anon_S2972E,809.98,489,320.98
anon_S4036E,642,-1,na
anon_S4597E,688,688,0
anon_S1813E,647,649,-2
anon_S4328E,698,-1,na
anon_S1580E,744.05,616,128.05
anon_S3209E,708,540,168
anon_S1488E,748.02,436,312.02
anon_S1401E,-1,-1,na
anon_S2779E,792,579,213
anon_S2223E,608,676,-68
anon_S1828E,636,555,81
anon_S2873E,724.29,487,237.29
anon_S1875E,649,533,116
anon_S83E,899.93,716,183.93
anon_S1453E,849.65,547,302.65
anon_S1128E,531,531,0
anon_S1683E,858.18,497,361.18
anon_S4227E,623,-1,na
anon_S5164E,548,548,0
anon_S5131E,620,-1,na
anon_S5414E,743.25,658,85.25
anon_S4025E,724.29,377,347.29
anon_S1988E,849.83,491,358.83
anon_S1966E,726.71,557,169.71
anon_S1239E,-1,-1,na
anon_S4464E,658,-1,na
anon_S3327E,578.89,428,150.89
anon_S4650E,620,543,77
anon_S4095E,730.4,326,404.4
anon_S2179E,620,616,4
anon_S2644E,849.65,486,363.65
anon_S1753E,620,595,25
