node,new_score,original_score,diff
anon_S4032,692.9358006,799,-106.0641994
anon_S2976,515.2269182,621,-105.7730818
anon_S1517,551.2845369,657,-105.7154631
anon_S5514,456.4000117,562,-105.5999883
anon_S577,626.9984059,732,-105.0015941
anon_S2236,568.1044657,673,-104.8955343
anon_S4019,501.12857,606,-104.87143
anon_S6018,545.1308352,650,-104.8691648
anon_S3586,515.20095,619,-103.79905
anon_S3179,538.4104468,642,-103.5895532
anon_S5831,661.4499852,765,-103.5500148
anon_S3948,501.1198288,604,-102.8801712
anon_S185,626.2881166,729,-102.7118834
anon_S1842,645.4707224,748,-102.5292776
anon_S5572,619.5353061,722,-102.4646939
anon_S4873,503.7193762,606,-102.2806238
anon_S2967,438.8472229,541,-102.1527771
anon_S1896,659.8835744,762,-102.1164256
anon_S5457,568.0476058,670,-101.9523942
anon_S5991,635.0622359,737,-101.9377641
anon_S3927,501.0838893,603,-101.9161107
anon_S5475,575.3796116,677,-101.6203884
anon_S5722,646.7673624,748,-101.2326376
anon_S107,588.8763818,690,-101.1236182
anon_S809,515.0211965,616,-100.9788035
anon_S5963,545.1723729,646,-100.8276271
anon_S3783,529.2544921,630,-100.7455079
anon_S1909,622.8203559,723,-100.1796441
anon_S4436,589.5876062,689,-99.41239382
anon_S531,661.5912215,761,-99.40877851
anon_S1474,655.8447087,755,-99.15529131
anon_S245,660.9068773,760,-99.09312275
anon_S5960,616.9822315,716,-99.01776851
anon_S5472,498,597,-99
anon_S523,664.0240631,763,-98.97593694
anon_S398,577.2132534,676,-98.78674657
anon_S5113,615.2136775,714,-98.78632249
anon_S159,645.4352725,744,-98.56472746
anon_S4480,459.6217204,558,-98.37827958
anon_S5098,429.7752898,528,-98.22471022
anon_S4926,581.89434,680,-98.10565998
anon_S5074,600.1636241,698,-97.83637589
anon_S5658,523.4235756,621,-97.5764244
anon_S4726,601.5286463,699,-97.47135367
anon_S3723,678.803514,776,-97.19648603
anon_S4901,558.906582,656,-97.09341805
anon_S5405,549.0959683,646,-96.90403172
anon_S2025,594.5168196,691,-96.48318037
anon_S3161,566.7411611,663,-96.25883893
anon_S623,596.7711169,693,-96.22888309
anon_S3944,640.7970735,737,-96.20292652
anon_S544,532.8577784,629,-96.14222158
anon_S4718,530.9810946,627,-96.01890545
anon_S1641,515.1408406,611,-95.85915935
anon_S2017,529.2496331,625,-95.75036692
anon_S516,662.6255914,758,-95.37440857
anon_S5258,489.9252557,585,-95.07474428
anon_S4786,598.9914446,694,-95.00855535
anon_S3315,515.2039049,610,-94.79609512
anon_S4193,560.2990972,655,-94.70090277
anon_S5469,511.5104521,606,-94.4895479
anon_S5580,595.5626863,690,-94.43731366
anon_S3108,538.6105712,633,-94.38942881
anon_S3958,501.1113054,595,-93.8886946
anon_S836,565.2010367,659,-93.79896333
anon_S5713,538.4408116,632,-93.55918839
anon_S627,596.5080703,690,-93.49192972
anon_S4241,652.5167741,746,-93.48322593
anon_S2887,568.0528238,661,-92.9471762
anon_S534,662.1054108,755,-92.89458916
anon_S15,664.5145701,757,-92.48542994
anon_S3506,522.8873733,615,-92.11262671
anon_S6123,517.9791399,610,-92.02086012
